x,y,z,i,r,t
-4.839051723480225,-9.501080513000488,-0.1651913970708847,10.0,68.0,1748443579930961.0
9.505228042602539,-9.20861530303955,-0.6204425096511841,8.0,50.0,1748443579912960.0
-1.0393019914627075,-7.819399833679199,-0.4105122685432434,6.0,47.0,1748443579928395.0
-7.734954833984375,7.1432294845581055,-0.05314504727721214,9.0,74.0,1748443579962593.0
-25.52031898498535,1.334471344947815,1.2082605361938477,46.0,104.0,1748443579949660.0
-0.3983919620513916,7.255484580993652,-0.6306601166725159,63.0,27.0,1748443579975791.0
-0.1849319040775299,7.41817045211792,-0.21809177100658417,58.0,60.0,1748443579973080.0
-4.673695087432861,-5.261179447174072,-0.5491210222244263,53.0,32.0,1748443579935396.0
-27.66920280456543,-14.933280944824219,3.6123831272125244,23.0,123.0,1748443579943779.0
-23.79694938659668,-2.6484479904174805,0.04591347277164459,38.0,78.0,1748443579948588.0
-12.04590129852295,-0.6817222833633423,-0.6708274483680725,8.0,45.0,1748443579948516.0
132.89230346679688,-38.761314392089844,4.373603343963623,7.0,95.0,1748443579905815.0
-15.46154499053955,-0.8440386056900024,-0.5370231866836548,8.0,57.0,1748443579948916.0
1.8890438079833984,-6.166473865509033,-0.6170845031738281,27.0,22.0,1748443579920611.0
-11.649523735046387,7.17657995223999,0.16920621693134308,20.0,84.0,1748443579957262.0
16.428861618041992,7.103152275085449,-0.02807011641561985,4.0,76.0,1748443579991975.0
-0.4919228255748749,2.627624273300171,-0.17054904997348785,65.0,40.0,1748443579970908.0
-27.58588218688965,-14.194958686828613,2.0097830295562744,17.0,114.0,1748443579943161.0
-9.541788101196289,-1.7600375413894653,-0.7766421437263489,7.0,31.0,1748443579948400.0
-5.513628959655762,7.439850807189941,0.2594675123691559,25.0,93.0,1748443579964265.0
-26.354934692382812,4.205273151397705,0.7493230700492859,20.0,93.0,1748443579951931.0
1.7534807920455933,-6.233201503753662,-0.5515223741531372,49.0,28.0,1748443579919113.0
131.62889099121094,-51.76832962036133,3.9747557640075684,20.0,93.0,1748443579905370.0
-25.988035202026367,13.401707649230957,1.6894217729568481,58.0,110.0,1748443579957941.0
-12.313599586486816,-38.60755157470703,3.1230108737945557,20.0,118.0,1748443579930264.0
-47.59849548339844,-47.983970642089844,3.3159897327423096,53.0,105.0,1748443579937209.0
1.2451541423797607,-11.755873680114746,0.41387227177619934,2.0,97.0,1748443579923092.0
-10.758673667907715,-9.681845664978027,-0.022690143436193466,25.0,76.0,1748443579936801.0
11.789548873901367,-3.4974021911621094,-0.8772773146629333,1.0,36.0,1748443579903065.0
-57.98551559448242,-41.541507720947266,3.749232053756714,20.0,107.0,1748443579941768.0
-14.97087287902832,3.6519720554351807,-0.34636011719703674,42.0,64.0,1748443579952641.0
-3.517486572265625,-5.529035568237305,-0.5811189413070679,54.0,26.0,1748443579934728.0
-0.5497385859489441,1.4018791913986206,0.09576558321714401,32.0,114.0,1748443579969775.0
-7.464271545410156,7.076748847961426,-0.5177993178367615,46.0,48.0,1748443579960913.0
84.45268249511719,-82.12966918945312,7.843194961547852,23.0,115.0,1748443579913934.0
-24.9019718170166,-6.548840522766113,0.7229127287864685,8.0,93.0,1748443579945319.0
