timestamp,c0,c1,c00,c01,c10,c11,c20,c21,c30,raw_pressure,raw_temperature,scale_pressure,scale_temperature,pressure,temperature
1760456485602394,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485612446,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485622389,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485632334,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485642443,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485652773,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485662273,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485672511,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485682473,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485692422,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485702391,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485712351,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485722739,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485732488,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485742423,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485752525,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485762554,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,328981,1040384,1040384,94212.42977121515,17.350138987143197
1760456485772512,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485782502,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485792920,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485802414,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485812412,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485822412,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485832339,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485842421,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485852511,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485862517,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.37187618844,17.34450645146407
1760456485872473,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379159,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485882442,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485892476,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485902430,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485912422,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485922433,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485932443,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485942427,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485952457,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485962427,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485972424,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,329001,1040384,1040384,94212.49419060622,17.34450645146407
1760456485982550,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456485992436,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456486002431,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456486012514,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456486022422,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456486032337,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
1760456486042443,220,-293,78668,-2565,-47847,1250,-7393,67,-852,-379162,328983,1040384,1040384,94212.54629619018,17.349575733575293
