timestamp,lx,ly,lz,ax,ay,az
1760456485823461,0,0,0,0,0,0
1760456485843684,0,0,0,0,0,0
1760456485863115,0,0,0,0,0,0
1760456485883327,0,0,0,0,0,0
1760456485903078,0,0,0,0,0,0
1760456485924366,0,0,0,0,0,0
1760456485943249,0,0,0,0,0,0
1760456485963054,0,0,0,0,0,0
1760456485983276,0,0,0,0,0,0
1760456486004833,0,0,0,0,0,0
1760456486024181,0,0,0,0,0,0
1760456486043176,0,0,0,0,0,0
1760456486063358,0,0,0,0,0,0
1760456486083421,0,0,0,0,0,0
1760456486103353,0,0,0,0,0,0
1760456486123394,0,0,0,0,0,0
1760456486147292,0,0,0,0,0,0
1760456486164447,0,0,0,0,0,0
1760456486183295,0,0,0,0,0,0
1760456486203048,0,0,0,0,0,0
1760456486223285,0,0,0,0,0,0
1760456486243257,0,0,0,0,0,0
1760456486264357,0,0,0,0,0,0
1760456486287353,0,0,0,0,0,0
1760456486303290,0,0,0,0,0,0
1760456486322935,0,0,0,0,0,0
1760456486344617,0,0,0,0,0,0
1760456486370029,0,0,0,0,0,0
1760456486383057,0,0,0,0,0,0
1760456486404729,0,0,0,0,0,0
1760456486423393,0,0,0,0,0,0
1760456486444402,0,0,0,0,0,0
1760456486467756,0,0,0,0,0,0
1760456486483011,0,0,0,0,0,0
1760456486504368,0,0,0,0,0,0
1760456486524836,0,0,0,0,0,0
1760456486543275,0,0,0,0,0,0
1760456486563027,0,0,0,0,0,0
1760456486583869,0,0,0,0,0,0
1760456486602831,0,0,0,0,0,0
1760456486623223,0,0,0,0,0,0
1760456486643897,0,0,0,0,0,0
1760456486664451,0,0,0,0,0,0
1760456486682958,0,0,0,0,0,0
1760456486702907,0,0,0,0,0,0
1760456486723455,0,0,0,0,0,0
1760456486743849,0,0,0,0,0,0
1760456486763359,0,0,0,0,0,0
1760456486783459,0.21114369481801987,0,0,0,0,0
1760456486803560,0.2697947323322296,0,0,0,0,0
1760456486823435,0.2697947323322296,0,0,0,0,0
1760456486843332,0.32844574749469757,0,0,0,0,0
1760456486863125,0.32844574749469757,0,0,0,0,0
1760456486883272,0.4340175837278366,0,0,0,0,0
1760456486903095,0.4340175837278366,0,0,0,0,0
1760456486923028,0.5278592258691788,0,0,0,0,0
1760456486942909,0.5278592258691788,0,0,0,0,0
1760456486962856,0.563049852848053,0,0,0,0,0
1760456486984829,0.563049852848053,0,0,0,0,0
1760456487002946,0.563049852848053,0,0,0,0,0
1760456487023174,0.6568914949893951,0,0,0,0,0
1760456487045215,0.6568914949893951,0,0,0,0,0
1760456487063226,0.7507331371307373,0,0,0,0,0
1760456487083043,0.7507331371307373,0,0,0,0,0
1760456487103136,0.797654002904892,0,0,0,0,0
1760456487126137,0.797654002904892,0,0,0,0,0
1760456487147378,0.797654002904892,0,0,0,0,0
1760456487164328,0.8093841969966888,0,0,0,0,0
1760456487183381,0.8093841969966888,0,0,0,0,0
1760456487204384,0.8093841969966888,0,0,0,0,0
1760456487227604,0.8093841969966888,0,0,0,0,0
1760456487246827,0.8328445851802826,0,0,0,0,0
1760456487266384,0.8328445851802826,0,0,0,0,0
1760456487284070,0.8328445851802826,0,0,0,0,0
1760456487303358,0.8328445851802826,0,0,0,0,0
1760456487326475,0.8445747792720795,0,0,0,0,0
1760456487343673,0.8445747792720795,0,0,0,0,0
1760456487365319,0.8445747792720795,0,0,0,0,0
1760456487386060,0.9149560332298279,0,0,0,0,0
1760456487403693,0.9149560332298279,0,0,0,0,0
1760456487426145,0.9618768095970154,0,0,0,0,0
1760456487446028,0.9618768095970154,0,0,0,0,0
1760456487462991,1.00879767537117,0,0,0,0,0
1760456487484488,1.00879767537117,0,0,0,0,0
1760456487503674,1.126099705696106,0,0,0,0,0
1760456487524769,1.2082111537456512,0,0,0,0,0
1760456487543606,1.2082111537456512,0,0,0,0,0
1760456487566272,1.2434017360210419,0,0,0,0,0
1760456487586931,1.2434017360210419,0,0,0,0,0
1760456487604367,1.2785924077033997,0,0,0,0,0
1760456487624800,1.2785924077033997,0,0,0,0,0
1760456487644280,1.3137829899787903,0,0,0,0,0.17595307901501656
1760456487666805,1.3137829899787903,0,0,0,0,0.17595307901501656
1760456487683362,1.360703855752945,0,0,0,0,0.24633432179689407
1760456487704132,1.3841642439365387,0,0,0,0,0.29325514286756516
1760456487724132,1.3841642439365387,0,0,0,0,0.29325514286756516
1760456487743719,1.3958944380283356,0,0,0,0,0.3167155534029007
1760456487763245,1.3958944380283356,0,0,0,0,0.3167155534029007
1760456487783901,1.3841642439365387,0,0,0,0,0.3167155534029007
1760456487804031,1.3841642439365387,0,0,0,0,0.3167155534029007
1760456487823034,1.4076246321201324,0,0,0,0,0.3167155534029007
1760456487843004,1.4076246321201324,0,0,0,0,0.3167155534029007
1760456487862940,1.4076246321201324,0,0,0,0,0.3167155534029007
1760456487883048,1.4193548262119293,0,0,0,0,0.3167155534029007
1760456487903046,1.4193548262119293,0,0,0,0,0.3167155534029007
1760456487923009,1.454545497894287,0,0,0,0,0.3167155534029007
1760456487943052,1.454545497894287,0,0,0,0,0.3167155534029007
1760456487962945,1.466275691986084,0,0,0,0,0.3167155534029007
1760456487985748,1.466275691986084,0,0,0,0,0.3167155534029007
1760456488003059,1.466275691986084,0,0,0,0,0.3167155534029007
1760456488026440,1.466275691986084,0,0,0,0,0.3167155534029007
1760456488044933,1.466275691986084,0,0,0,0,0.3519061580300331
1760456488063161,1.466275691986084,0,0,0,0,0.3519061580300331
1760456488083119,1.466275691986084,0,0,0,0,0.3519061580300331
1760456488103150,1.466275691986084,0,0,0,0,0.3519061580300331
1760456488123411,1.466275691986084,0,0,0,0,0.3519061580300331
1760456488144826,1.454545497894287,0,0,0,0,0.3519061580300331
1760456488164799,1.454545497894287,0,0,0,0,0.3519061580300331
1760456488187503,1.454545497894287,0,0,0,0,0.3519061580300331
