timestamp,value
1760456486267788,0
1760456487278163,7.8125
1760456488278019,-5.375
1760456489289773,1.9375
1760456490288023,2.3125
1760456491298424,2.4375
1760456492309698,2.8125
1760456493318419,2.875
1760456494319277,4.1875
1760456495320469,3
1760456496328508,2.4375
1760456497338801,-15.0625
1760456498349220,-15.25
1760456499358561,-14.6875
1760456500373826,-14.5
1760456501380235,-9.5
1760456502378553,-15.4375
1760456503388223,-16.9375
1760456504398151,-17.1875
1760456505398517,-17.375
1760456506411295,-11.4375
1760456507418937,-13.125
1760456508418373,-6.75
1760456509429615,-7.0625
1760456510438449,-5.9375
1760456511449837,15.25
1760456512448386,0.9375
1760456513450431,0.25
1760456514459100,35.25
1760456515468492,6.4375
1760456516482649,7.4375
1760456517478660,51.375
1760456518489171,19
1760456519489021,17.3125
1760456520499409,17.25
1760456521498723,30.6875
1760456522508666,20.9375
1760456523519794,17.875
1760456524529922,38.5625
1760456525529437,-8.5
1760456526538725,10.8125
1760456527543342,11.3125
1760456528551388,9.125
1760456529548681,-3.0625
1760456530562499,6.625
1760456531559381,7.0625
1760456532568656,6.3125
1760456533568823,6.125
1760456534579112,6.5
1760456535592849,6.3125
1760456536599159,5.625
1760456537599290,19
1760456538609550,13.4375
1760456539620047,10.25
1760456540629079,9.9375
1760456541639923,9.1875
1760456542649127,4.75
1760456543649106,11.125
1760456544659427,17.0625
1760456545661433,12.375
1760456546669142,12.8125
1760456547669480,11.3125
1760456548680701,11.4375
1760456549689217,11.25
1760456550699647,18.1875
1760456551699520,10.875
1760456552712356,13.75
1760456553719612,7.625
1760456554730305,8.0625
1760456555729718,8.5625
1760456556740884,2.6875
1760456557739592,2
1760456558750311,6.5625
1760456559759759,4.1875
1760456560759898,1.75
1760456561769860,-5.625
1760456562780454,-4.4375
1760456563779799,-6.1875
1760456564789891,-0.5
1760456565790178,0.4375
1760456566800309,2.125
1760456567802155,-6.0625
1760456568812536,-6.4375
1760456569820060,-3.0625
1760456570829982,-1.625
1760456571830107,-0.6875
1760456572840159,-0.4375
1760456573840290,0.0625
1760456574850395,0.6875
1760456575860256,2.0625
1760456576870427,1.125
1760456577881872,29.1875
1760456578880232,-11.3125
1760456579890554,-1.1875
1760456580901363,0.6875
1760456581900208,2.0625
1760456582910790,5.6875
1760456583920294,15.75
1760456584930549,6.0625
1760456585940470,6.625
1760456586940512,5.5
1760456587950557,7.1875
1760456588950474,-2.75
1760456589960587,-1.4375
1760456590960677,-6.0625
1760456591970565,0.3125
1760456592970801,0.5
1760456593981180,-10.3125
1760456594990474,-5.625
1760456595990112,-2.8125
1760456597000246,-3.3125
1760456598009916,-2.75
1760456599010249,-5.8125
1760456600020465,-4
1760456601030210,-0.25
1760456602030720,1.375
1760456603040143,-3.4375
1760456604050512,-0.625
1760456605060495,-2.25
1760456606071966,6.625
1760456607073343,5.5
1760456608080028,8.25
1760456609080180,2.5625
1760456610090221,8.5625
1760456611090404,0.4375
1760456612100176,6.4375
1760456613110152,12.8125
1760456614110324,10.0625
1760456615120165,5.6875
1760456616120125,8.9375
1760456617130086,-21.125
1760456618130465,5.75
1760456619140647,6.4375
1760456620150855,-23
1760456621160772,-2.5625
1760456622160923,-0.1875
1760456623172230,0.875
1760456624180939,0.3125
1760456625191149,0.8125
1760456626200937,-25.0625
1760456627201067,-9.5
1760456628222379,-0.8125
1760456629231331,4.4375
1760456630233540,0.375
1760456631242771,2.375
1760456632251618,3.5625
1760456633252168,1.875
1760456634261679,2.25
1760456635261642,-19.0625
1760456636263224,8.5625
1760456637275145,-5.5
1760456638272289,2.75
1760456639282161,-6.375
1760456640281988,8.3125
1760456641292230,12.1875
1760456642292504,5.625
1760456643292449,4.25
1760456644304415,3.4375
1760456645312386,4.0625
1760456646313089,2.3125
1760456647322651,-5.6875
1760456648325142,5
1760456649332824,27.75
1760456650332895,-8.4375
1760456651342617,-1.6875
1760456652353168,0.6875
1760456653353473,-3.875
1760456654362847,0
