timestamp,pack_voltage,pack_current,state,main_fault_reg,soc,remaining_capacity,min_temp,max_temp,min_cell_volt,max_cell_volt,brick_volt_avg,cell_volt_avg,pack_temp_avg,pack_imbalance
1760456485525171,47.403,-8.323,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456485625139,47.421,-8.235,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456485725128,47.385,-8.149,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456485825159,47.367,-8.139,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456485925118,47.349,-8.228,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456486025186,47.421,-8.273,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456486125181,47.421,-8.253,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456486225227,47.403,-8.257,2,0,82,8264,18,20.7,3.925,4.002,23.582,3.957,19.4,77
1760456486381294,47.349,-8.141,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486425260,47.385,-8.148,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486525293,47.367,-8.247,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486625291,47.385,-8.311,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486725269,47.367,-8.258,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486825309,47.367,-8.155,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456486925737,47.331,-10.921,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456487026141,47.278,-14.61,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456487125320,47.188,-20.15,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456487227439,47.224,-23.556,2,0,82,8264,18,20.7,3.923,4.002,23.581,3.957,19.4,79
1760456487381424,47.134,-29.556,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487426096,47.278,-26.617,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487525511,47.206,-26.144,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487626529,46.954,-40.437,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487725594,46.919,-49.927,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487825368,47.278,-33.312,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456487925503,46.954,-44.828,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456488025583,47.026,-41.91,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456488125623,47.044,-41.029,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456488225522,47.188,-34.678,2,0,82,8264,18,20.7,3.913,3.996,23.552,3.948,19.4,83
1760456488381506,47.188,-29.064,2,0,82,8264,18,20.7,3.919,3.995,23.543,3.95,19.4,76
1760456488425711,47.188,-29.108,2,0,82,8264,18,20.7,3.919,3.995,23.543,3.95,19.4,76
1760456488525497,47.242,-27.907,2,0,82,8264,18,20.7,3.919,3.995,23.543,3.95,19.4,76
1760456488625619,47.188,-27.838,2,0,82,8264,18,20.7,3.919,3.995,23.543,3.95,19.4,76
