timestamp,value
1760456486369926,0
1760456487377289,9.25
1760456488386844,25.75
1760456489386971,10.125
1760456490397219,9.375
1760456491396918,13.3125
1760456492406913,8.4375
1760456493417332,8.625
1760456494418628,9.3125
1760456495417211,7.625
1760456496427189,15.75
1760456497437281,53.625
1760456498447955,54.4375
1760456499459326,53.3125
1760456500467557,38.125
1760456501477333,27.375
1760456502477477,50.6875
1760456503487557,56.0625
1760456504497165,53.8125
1760456505497835,54.625
1760456506507099,33.5
1760456507518441,33.6875
1760456508527589,29.8125
1760456509528723,27.6875
1760456510537396,26.0625
1760456511547768,1.125
1760456512548397,19.9375
1760456513557316,18.9375
1760456514558272,79.875
1760456515567816,30.6875
1760456516577495,29.1875
1760456517577727,-15.3125
1760456518588967,19
1760456519587794,23.4375
1760456520598112,18.8125
1760456521597771,8.4375
1760456522607571,14.5625
1760456523617720,15.25
1760456524627559,-5.5
1760456525640588,-5.1875
1760456526638573,4.25
1760456527647877,5.9375
1760456528650424,6.0625
1760456529647835,16.5625
1760456530658211,9.3125
1760456531660583,9
1760456532668399,8.625
1760456533678298,8.4375
1760456534678336,9.4375
1760456535687696,8.6875
1760456536698984,7.625
1760456537707734,-2.5
1760456538707703,4.75
1760456539718227,4.625
1760456540738199,4.625
1760456541740274,5.125
1760456542747763,3.75
1760456543747969,5.375
1760456544758145,17.8125
1760456545758367,9.0625
1760456546768056,9.125
1760456547778252,8.75
1760456548778277,8.6875
1760456549788186,8.375
1760456550800149,17.3125
1760456551808488,10
1760456552808143,8.125
1760456553818316,8.125
1760456554828359,8
1760456555839545,6.875
1760456556839728,20.8125
1760456557838524,10.875
1760456558849417,8.9375
1760456559859733,8.375
1760456560858512,14.6875
1760456561868866,20.9375
1760456562878595,27.6875
1760456563888550,29.5625
1760456564888716,16.25
1760456565898782,14.125
1760456566898739,13.5625
1760456567899119,27.9375
1760456568910647,23.625
1760456569928878,26.5
1760456570929027,15.125
1760456571929428,12.3125
1760456572939223,13.375
1760456573939158,11.1875
1760456574949468,11.0625
1760456575959039,8.75
1760456576968907,9.625
1760456577979085,37.6875
1760456578979141,37.125
1760456579990582,13.9375
1760456580999091,13.875
1760456582009241,12.1875
1760456583009041,26.75
1760456584019355,19.625
1760456585028984,13.3125
1760456586039277,13.0625
1760456587039375,9
1760456588049100,10.5
1760456589049177,-10.5
1760456590059554,1.9375
1760456591069148,13.625
1760456592069302,5.6875
1760456593079640,6
1760456594079639,18.5625
1760456595089135,21.3125
1760456596099027,10.8125
1760456597098885,6
1760456598108757,19.6875
1760456599109575,31.375
1760456600119125,24.3125
1760456601128842,14.375
1760456602139278,15.25
1760456603139209,16.5625
1760456604149037,14.375
1760456605158860,10.0625
1760456606168861,1.25
1760456607169098,-2.125
1760456608179055,1.5
1760456609179005,1.9375
1760456610189479,0.4375
1760456611188854,0.25
1760456612199021,5
1760456613209426,11.0625
1760456614209299,6.3125
1760456615219104,6.3125
1760456616228770,6.75
1760456617228836,43.0625
1760456618229394,9.9375
1760456619239507,13.3125
1760456620251095,62.75
1760456621261392,10.6875
1760456622269547,13.5
1760456623269419,12.3125
1760456624280730,10.8125
1760456625290029,8
1760456626300027,44.1875
1760456627301536,9.1875
1760456628320109,15.5625
1760456629331575,19.0625
1760456630340390,14.125
1760456631340962,10.4375
1760456632350321,11.5625
1760456633350244,7.9375
1760456634361245,8.25
1760456635361349,27.8125
1760456636371948,14.6875
1760456637371762,-0.875
1760456638380619,7.1875
1760456639381223,-2.25
1760456640391169,-5
1760456641390810,-1.375
1760456642391048,0.8125
1760456643393418,0.75
1760456644401734,1.1875
1760456645414878,1.125
1760456646424268,1
1760456647423532,12.3125
1760456648421430,5.375
1760456649432458,-10.875
1760456650442258,18.5625
1760456651442614,3.375
1760456652452664,3.375
1760456653452198,-1.9375
1760456654462603,0
