timestamp,value
1760456486267750,47
1760456487278159,46.75
1760456488277991,46.625
1760456489289758,46.6875
1760456490288012,46.6875
1760456491298265,46.5625
1760456492309687,46.6875
1760456493318392,46.625
1760456494319267,46.6875
1760456495320450,46.6875
1760456496328489,46.6875
1760456497338791,46.4375
1760456498349132,46.4375
1760456499358551,46.375
1760456500373812,46.5
1760456501380220,46.625
1760456502378522,46.375
1760456503388189,46.375
1760456504398143,46.5
1760456505398508,46.375
1760456506411255,46.5625
1760456507418916,46.5625
1760456508418361,46.5
1760456509429597,46.625
1760456510438429,46.5
1760456511449827,46.5
1760456512448376,46.625
1760456513450416,46.5
1760456514459091,44.5625
1760456515468483,46.1875
1760456516482636,46.0625
1760456517478656,46
1760456518489162,46.125
1760456519489007,46
1760456520499049,46.1875
1760456521498714,45.875
1760456522508633,46.0625
1760456523519780,46.0625
1760456524529908,46.125
1760456525529410,46.8125
1760456526538699,46.5
1760456527543285,46.4375
1760456528551344,46.4375
1760456529548665,46.5
1760456530562485,46.5
1760456531559372,46.5
1760456532568641,46.5
1760456533568807,46.5
1760456534579105,46.4375
1760456535592836,46.5
1760456536599150,46.5
1760456537599246,46.375
1760456538609534,46.5
1760456539620036,46.375
1760456540629070,46.5
1760456541639893,46.4375
1760456542649115,46.6875
1760456543649093,46.4375
1760456544659423,45.9375
1760456545661409,46.3125
1760456546669134,46.375
1760456547669473,46.375
1760456548680674,46.4375
1760456549689208,46.375
1760456550699643,46.0625
1760456551699511,46.3125
1760456552712315,46.375
1760456553719604,46.375
1760456554730296,46.4375
1760456555729707,46.5
1760456556740870,46.375
1760456557739574,46.5
1760456558750302,46.5
1760456559759737,46.375
1760456560759889,46.4375
1760456561769851,46.5625
1760456562780446,46.375
1760456563779776,46.4375
1760456564789882,46.4375
1760456565790036,46.625
1760456566800206,46.5
1760456567799975,46.375
1760456568812528,46.5
1760456569820052,46.4375
1760456570829974,46.5
1760456571830100,46.5
1760456572840147,46.4375
1760456573840281,46.625
1760456574850367,46.5
1760456575860252,46.5625
1760456576870372,46.5625
1760456577881858,45.375
1760456578880223,46.3125
1760456579890542,46.5625
1760456580901337,46.5
1760456581900189,46.4375
1760456582910780,46.1875
1760456583920287,46.0625
1760456584930522,46.3125
1760456585940456,46.25
1760456586940505,46.4375
1760456587950548,46.4375
1760456588950461,47.125
1760456589960580,46.75
1760456590960669,46.6875
1760456591970551,46.5625
1760456592970793,46.625
1760456593981152,46.625
1760456594990467,46.5
1760456595990104,46.5
1760456597000233,46.6875
1760456598009908,46.4375
1760456599010144,46.3125
1760456600020453,46.4375
1760456601030173,46.5625
1760456602030713,46.4375
1760456603040095,46.625
1760456604050313,46.4375
1760456605060487,46.625
1760456606071952,46.5
1760456607073335,46.6875
1760456608080017,46.5625
1760456609080152,46.5625
1760456610090189,46.5625
1760456611090376,46.75
1760456612100169,46.6875
1760456613110145,46.4375
1760456614110177,46.375
1760456615120154,46.3125
1760456616120117,46.4375
1760456617130080,46.3125
1760456618130457,46.4375
1760456619140620,46.4375
1760456620150827,45.9375
1760456621160765,46.6875
1760456622160897,46.5625
1760456623172218,46.4375
1760456624180929,46.4375
1760456625191140,46.4375
1760456626200928,46.625
1760456627201039,46.8125
1760456628222371,46.3125
1760456629231310,46.1875
1760456630232881,46.25
1760456631242719,46.625
1760456632251611,46.4375
1760456633252161,46.4375
1760456634261671,46.5625
1760456635261633,46.6875
1760456636262255,46.3125
1760456637271800,47
1760456638272257,46.4375
1760456639281893,47
1760456640281979,46.5
1760456641292093,46.5
1760456642292496,46.625
1760456643292441,46.625
1760456644304404,46.5625
1760456645312360,46.625
1760456646313078,46.6875
1760456647322643,46.6875
1760456648325099,46.5
1760456649332817,46.3125
1760456650332869,46.625
1760456651342609,46.625
1760456652353139,46.6875
1760456653353466,46.875
1760456654362835,46.75
